2025-10-29 15:36:21,876 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/farzad-habibi-metastable-failures-in-consensus-algorithms, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:22,429 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/quishi-bai-maliva-using-machine-learning-to-rewrite-visualization-queries-under-time-constraints, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:22,984 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/zuozhi-wang-texera-a-system-for-collaborative-and-interactive-data-analytics-using-workflows-phd-final-defense, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:23,538 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/c-mohan-a-survey-of-cloud-database-systems, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:24,095 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/fangqi-liu-dome-drone-assisted-monitoring-of-emergent-events-for-wildland-fire-resilience, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:24,650 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/photon-how-to-think-vectorized, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:25,205 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/babak-salimi-ucsd-certifying-the-fairness-of-predictive-models-in-the-face-of-selection-bias, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:25,761 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/shanshan-han-veil-storage-and-communication-efficient-volume-hiding-algorithms, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:26,317 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/yiming-lin-quip-query-driven-during-missing-value-imputation, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:26,873 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/aaron-elmore-crocodiledb-resource-efficient-database-execution-cs-seminar, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:27,426 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/aaron-elmore-adventures-in-database-compression, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:27,979 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/tung-chun-chang-smartparcels-cross-layer-iot-planning-for-smart-communities, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:28,535 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/andrew-chio-smartspec-customizable-smart-space-datasets-via-event-driven-simulations, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:29,088 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/glenn-galvizo-navigational-pattern-matching-w-graphix, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:29,641 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/peeyush-gupta-a-demonstration-of-tippersdb, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:30,196 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/juncheng-fang-pelopartition-improving-blockchain-resilience-to-partitioning-by-sharding, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:30,750 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/speaker-abhishek-singh-wedgeblock-an-off-chain-secure-logging-platform-for-blockchain-applications, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:31,306 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/xiaozhen-liu-demonstration-of-collaborative-and-interactive-workflow-based-data-analytics-in-texera, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:31,884 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/qiushi-bai-querybooster-improving-sql-performance-using-middleware-services-for-human-centered-query-rewriting-demo, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:32,439 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/sadeem-alsudais-shengquan-ni-drove-tracking-execution-results-of-workflows-on-large-data, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:32,994 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/isg-talks-welcome-back, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:33,546 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/anand-deshpahde-persistent-technologies-how-to-build-your-own-business, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:34,108 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/events/tag/talks, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:36:34,660 - Worker-0 - INFO - Downloaded https://isg.ics.uci.edu/event/jayant-haritsa-iisc-bangalore-shedding-light-on-opaque-database-queries, status <200>, using cache ('styx.ics.uci.edu', 9001).
